OSEBuildingID	%NaturalGas(kBtu)	%SteamUse(kBtu)	BuildingType	NumberofBuildings	NumberofFloors	PropertyGFATotal	ENERGYSTARScore	SourceEUI(kBtu/sf)	SiteEnergyUse(kBtu)	TotalGHGEmissions	GHGEmissionsIntensity	tranche_date	BuildingAge	groups_neighborhood	groups_PrimaryPropertyType	GFABuildingRate
107	-0.08338767831989927	-5.199337582605575	NonResidential	-5.199337582605575	1.57946928219599	1.962824291778362	1.1110819741139206	0.38108014057472167	1.8833318080176147	1.7562085551334123	0.1512740750405371	tranche_date4	6	Various	Various	5.19933758270342
110	-5.199337582605575	2.1289422551433885	Nonresidential COS	-5.199337582605575	-0.25905710256854775	0.1009235599085311	-0.13858315006072774	-0.3019609993422495	0.01815971103170176	0.47854124818713156	0.6919353083649279	tranche_date2	54	Various	Various	5.19933758270342
111	-5.199337582605575	-5.199337582605575	Nonresidential COS	-5.199337582605575	-5.199337582605575	0.24689154337998526	-0.13858315006072774	-1.764169107335505	-1.0107515404497518	-1.4151411929516498	-1.7159437146034884	tranche_date1	88	Various	Various	5.19933758270342
112	-5.199337582605575	1.6990184501867596	Nonresidential COS	-5.199337582605575	-0.25905710256854775	1.2671232839942097	-0.13858315006072774	0.3633957926956912	1.4452987095413086	1.589215617514982	0.6355801662807077	tranche_date1	88	Various	Various	5.19933758270342
113	-5.199337582605575	-5.199337582605575	NonResidential	-5.199337582605575	-0.25905710256854775	0.3208676770013427	-0.13858315006072774	0.8479674230971405	0.3135665944605348	-0.4279433612737822	-0.4997736464576177	tranche_date3	30	Various	Various	-0.7962061779049626
114	0.03727649559654888	-5.199337582605575	NonResidential	-5.199337582605575	1.0481072891215324	2.2528612485217954	1.2253566257226682	-0.07109288132541877	1.800781732304498	1.8286373708635242	-0.11832313983998274	tranche_date4	6	Various	Various	-1.3451224791117338
115	-0.14630799368072023	-5.199337582605575	NonResidential	-5.199337582605575	0.5693210610934747	0.42556453880652667	0.38613215391828554	0.5608578397605796	0.1884822930987222	-0.011616874628833969	-0.21256877768109023	tranche_date2	46	Various	Various	-1.3906596548974288
116	0.6787780373449934	-5.199337582605575	NonResidential	-5.199337582605575	1.0481072891215324	0.6040317675311723	-0.7945871296662126	0.46373692072888706	0.4515454492145744	0.7242082804233155	0.5054732915240272	tranche_date4	14	Various	Various	-1.5537650044440465
117	1.1116887536887519	-5.199337582605575	NonResidential	1.959107485152615	0.5693210610934747	0.05798566657087621	-0.8618363930960037	0.6351356044608805	0.5056062654232499	0.8794962162475882	1.3038176574903855	tranche_date2	54	North	Various	5.19933758270342
119	0.6993305820086352	-5.199337582605575	NonResidential	-5.199337582605575	0.23058751152675497	0.3457671187527898	-1.1687981400453933	-0.6363914109332923	-0.0015434467482150173	0.3212347811815082	0.219104987526368	tranche_date1	93	Various	Various	5.19933758270342
120	1.450061589812409	-5.199337582605575	NonResidential	-5.199337582605575	1.0481072891215324	1.1093111311270705	5.19933758270342	-1.11406432345354	0.5887499728469203	1.0420198361592476	0.28773826852613255	tranche_date1	108	Various	Various	5.19933758270342
121	-5.199337582605575	-5.199337582605575	NonResidential	-5.199337582605575	0.23058751152675497	0.6355003554780562	-0.6294444638217898	0.8700458558547087	0.41373902454283645	-0.2877382685261328	-0.6983314427289391	tranche_date4	13	South	Various	-1.4604911027489675
